Previous,上一頁
Remove,移除
"Remove This Item",移除此物品
"Clear All",全部清除
"Address Book",通訊錄
"Account Information",帳戶資訊
"My Account",我的帳戶
Summary,概要
Settings,設定
Product,商品
SKU,商品編號
Price,價格
Quantity,數量
Total,總計
"Update Items and Quantities",更新項目和數量
ID,編號
Action,操作
Message,訊息
No,否
Yes,是
Website,網站
Save,儲存
Delete,刪除
"Save and Continue Edit",保存並繼續編輯
"Add Attribute",添加產品屬性
"Delete Attribute",刪除屬性
"Use Default Value",使用預設值
"Add New Option",添加新選項
"Delete Option",刪除選項
Code,代號
"Sort Order",訂單排序
Attributes,屬性
"[STORE VIEW]",[商店總覽]
None,無
State/Province,州/省
"Please Select",請選擇
From,由
To,至
Customers,顧客
"Page not found.",找不到頁面。
"We can't add this item to your shopping cart right now.",現在無法新增至購物車
label,標籤
Inactive,閒置
Active,激活
Type,類別
"Shopping Cart Items",購物車項目
"New Attribute",新屬性
"Input Type",輸入類型
"Is Default",是預設
Company,公司
Address,位址
"Street Address",首行地址
City,城市
"Zip/Postal Code",郵政編碼
Country,國家
Qty,數量
Back,上一步
Edit,編輯
"Add New",新增
"First Name",名字
Name,名稱
Email,電郵
"* Required Fields","* 為必填項"
Next,下一頁
"Last Name",姓氏
Status,狀態
"Product Name",產品名稱
Quantity:,數量︰
Search,搜尋
Actions,動作
"Add to Cart",加到購物車
Text,文字
Role,角色
Date,日期
Template,範本
"Payment Type",付款類型
"Transaction Type",交易類型
"Transaction ID",交易編號
"CVV Verification","CVV 驗證"
"Card number",卡號
"Expiration Date",到期日期
"Sorry, but something went wrong",對不起，出了問題。
"Authorize Only",僅授權
"Authorize and Capture",授權和提取
"Credit Card Type",信用卡類型
"Credit Card Number",信用卡卡號
"Card Verification Number",信用卡驗證號碼
Enabled,啟用
Title,標題
"Payment Action",付款操作
Debug,除錯
"Credit Card Types",信用卡類型
"Payment from Applicable Countries",適用國家的付款
"Payment from Specific Countries",特定國家的付款
"Start Date",開始日期
Cancel,取消
"Changes have been made to this section that have not been saved.",對本節進行的修改尚未保存。
"This tab contains invalid data. Please resolve this before saving.","此選項卡包含無效數據。 保存前請解決此問題。"
"records found",找到的記錄
selected,"已選的 "
